CASRN,LD50,Compound name,Binary,GHS,Set,SMILES
154279-60-4,1600,-,1.0,4,ms,CCC(C)NC1CCC(CC2CCC(NC(C)CC)CC2)CC1
299-85-4,1680,Zytron,1.0,4,ms,COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl
77-81-6,18,Tabun,1.0,1,ms,CCOP(=O)(C#N)N(C)C
81-81-2,720,Warfarin,1.0,3,ms,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
301-12-2,106,Oxydemeton-methyl,1.0,2,ms,CCS(=O)CCSP(=O)(OC)OC
108-42-9,250,m-Chloroaniline,1.0,3,ms,Nc1cccc(Cl)c1
55-38-9,330,Fenthion,1.0,3,ms,COP(=S)(OC)Oc1ccc(SC)c(C)c1
2314-09-02,980,Flurenol [ISO],1.0,3,ms,CCCCOC(=O)C1(O)c2ccccc2-c2ccccc21
2587-90-8,68,Demephion-S [ISO:BSI],1.0,2,ms,COP(=O)(OC)SCCSC
6610-29-3,200,N-methylhydrazinecarbothioamide,1.0,3,ms,CNC(=S)NN
29173-31-7,720,Mercarphon [ISO],1.0,3,ms,COC(=O)N(C)C(=O)CSP(C)(=S)OC
7292-16-2,89,Propaphos [BSI:ISO],1.0,2,ms,CCCOP(=O)(OCCC)Oc1ccc(SC)cc1
52-46-0,400,Apholate,1.0,3,ms,C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1
17040-19-6,500,Demeton-S-methylsulphon [ISO],1.0,3,ms,CCS(=O)(=O)CCSP(=O)(OC)OC
1113-02-6,700,Omethoate [BSI:ISO],1.0,3,ms,CNC(=O)CSP(=O)(OC)OC
3861-47-0,500,Ioxynil octanoate [BSI:ISO],1.0,3,ms,CCCCCCCC(=O)Oc1c(I)cc(C#N)cc1I
62-74-8,2,Sodium fluoroacetate [ISO],1.0,1,ms,O=C(O)CF
24934-91-6,27,Chlormephos [BSI:ISO],1.0,1,ms,CCOP(=S)(OCC)SCCl
505-60-2,5,Sulfur mustard,1.0,1,ms,ClCCSCCCl
25899-50-7,817,pent-2-enenitrile,1.0,3,ms,CC=CCC
1491-41-4,140,,1.0,2,ms,CCOP(=O)(OCC)ON1C(=O)c2cccc3cccc(c23)C1=O
824-11-3,929,Trimethylolpropane phosphite,1.0,3,ms,CCC12COP(OC1)OC2
2275-18-5,100,Prothoate [BSI:ISO],1.0,2,ms,CCOP(=S)(OCC)SCC(=O)NC(C)C
611-06-3,921,"2,4-dichloro-1-nitrobenzene",1.0,3,ms,O=[N+]([O-])c1ccc(Cl)cc1Cl
107-27-7,200,Ethylmercuric chloride,1.0,3,ms,C[CH2][Hg][Cl]
95-48-7,620,,1.0,3,ms,Cc1ccccc1O
,1600,Amitraz,1.0,4,ms,Cc1ccc(N=CN(C)C=Nc2ccc(C)cc2C)c(C)c1
52756-25-9,294,Flamprop-methyl [ISO],1.0,3,ms,COC(=O)C(C)N(C(=O)c1ccccc1)c1ccc(F)c(Cl)c1
644-64-4,600,Dimetilan [BSI],1.0,3,ms,Cc1cc(OC(=O)N(C)C)nn1C(=O)N(C)C
13171-21-6,125,cis-Phosphamidon,1.0,2,ms,CCN(CC)C(=O)C(Cl)=C(C)OP(=O)(OC)OC
57-14-7,770,,1.0,3,ms,CN(C)N
563-12-2,62,Ethion [ANSI:BSI:ISO],1.0,2,ms,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
298-00-0,67,Parathion-methyl [BSI:ISO],1.0,2,ms,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
52645-53-1,1750,Permethrin,1.0,4,ms,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1
108-39-4,1100,,1.0,4,ms,Cc1cccc(O)c1
108-98-5,300,Thiophenol,1.0,3,ms,Sc1ccccc1
119-38-0,6,Isolan,1.0,1,ms,Cc1cc(OC(=O)N(C)C)n(C(C)C)n1
13516-27-3,1500,Iminoctadine [ISO],1.0,4,ms,[H]/N=C(/N)NCCCCCCCCNCCCCCCCCN/C(N)=N/[H]
65195-55-3,400,,1.0,3,ms,CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2
120-57-0,5,,1.0,1,ms,O=Cc1ccc2c(c1)OCO2
2921-88-2,202,Chlorpyrifos [ANSI:BSI:ISO],1.0,3,ms,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl
2636-26-2,250,Cyanophos [BSI:ISO],1.0,3,ms,COP(=S)(OC)Oc1ccc(C#N)cc1
18854-01-8,450,Isoxathion [ISO:BSI],1.0,3,ms,CCOP(=S)(OCC)Oc1cc(-c2ccccc2)on1
109-02-4,1820,4-Methylmorpholine,1.0,4,ms,CN1CCOCC1
139403-31-9,1010,,1.0,4,ms,CCCCC(C)CC(O)C=CC1C(O)CC2CC(CCOCC(=O)OC)CC21
2655-19-8,100,Butacarb [ISO],1.0,2,ms,CNC(=O)Oc1cc(C(C)(C)C)cc(C(C)(C)C)c1
1498-64-2,336,,1.0,3,ms,CCOP(=S)(Cl)Cl
90-02-8,600,Salicylaldehyde,1.0,3,ms,O=Cc1ccccc1O
